alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-5,-0.0838,0.00923,0.00311,-0.1018,0.7272,0.1106
-4.75,-0.0562,0.00911,0.003,-0.1017,0.7172,0.1168
-4.5,-0.0291,0.00903,0.00289,-0.1014,0.7068,0.1233
-4.25,-0.0014,0.00896,0.0028,-0.1013,0.6959,0.1296
-4,0.0258,0.00886,0.00271,-0.1011,0.6857,0.1378
-3.75,0.0533,0.0088,0.00263,-0.1009,0.675,0.1455
-3.5,0.0807,0.00874,0.00256,-0.1008,0.6646,0.1541
-3.25,0.1077,0.00868,0.00249,-0.1005,0.6532,0.1637
-3,0.1354,0.00863,0.00243,-0.1004,0.643,0.1731
-2.75,0.1623,0.0086,0.00239,-0.1001,0.632,0.1837
-2.5,0.1899,0.00854,0.00235,-0.1,0.6219,0.1954
-2,0.2446,0.00849,0.00229,-0.0997,0.6011,0.2191
-1.75,0.2712,0.00848,0.00227,-0.0994,0.5907,0.2335
-1.5,0.299,0.00843,0.00226,-0.0993,0.5814,0.248
-1.25,0.3257,0.00845,0.00225,-0.099,0.5712,0.263
-1,0.3536,0.00841,0.00225,-0.0989,0.5628,0.2791
-0.75,0.3802,0.00842,0.00226,-0.0987,0.5535,0.2968
-0.5,0.4079,0.00839,0.00227,-0.0986,0.5456,0.3166
-0.25,0.4348,0.00838,0.00229,-0.0984,0.5372,0.3381
0.25,0.489,0.00829,0.00233,-0.098,0.5227,0.3931
0.5,0.5149,0.00824,0.00237,-0.0977,0.5151,0.4398
0.75,0.5415,0.00811,0.00242,-0.0975,0.5093,0.5014
1,0.5682,0.00802,0.00247,-0.0972,0.503,0.5579
1.25,0.5939,0.00799,0.00255,-0.0968,0.4964,0.6077
1.5,0.6205,0.00794,0.00262,-0.0965,0.4912,0.6534
1.75,0.6472,0.00789,0.0027,-0.0962,0.4859,0.698
2,0.673,0.00788,0.00278,-0.0957,0.4803,0.7414
2.25,0.6979,0.0079,0.0029,-0.095,0.4745,0.7855
2.5,0.724,0.00785,0.00299,-0.0945,0.4705,0.8306
2.75,0.7486,0.00784,0.0031,-0.0936,0.4656,0.874
3,0.7719,0.00791,0.00322,-0.0925,0.4605,0.9138
3.25,0.7964,0.00803,0.00336,-0.0915,0.4552,0.9469
3.5,0.8284,0.00811,0.00347,-0.0923,0.4512,0.968
3.75,0.8634,0.00825,0.00358,-0.0938,0.4461,0.9818
4,0.899,0.00844,0.00372,-0.0955,0.4404,0.9913
4.5,0.9802,0.00873,0.00398,-0.1012,0.4303,0.999
4.75,1.0053,0.00885,0.00407,-0.1007,0.4252,1
5,1.0225,0.00901,0.00417,-0.0985,0.4196,1
5.25,1.0437,0.00908,0.00425,-0.0972,0.4157,1
5.5,1.0652,0.00917,0.00433,-0.0959,0.4108,1
5.75,1.086,0.00931,0.00445,-0.0945,0.4052,1
6,1.1067,0.00949,0.00459,-0.0931,0.3995,1
6.25,1.1297,0.00958,0.0047,-0.0922,0.3946,1
6.5,1.1506,0.00974,0.00483,-0.0908,0.3885,1
6.75,1.1704,0.00996,0.00501,-0.0893,0.3819,1
7,1.1938,0.01009,0.00515,-0.0885,0.3762,1
7.25,1.2151,0.01031,0.00534,-0.0874,0.369,1
7.5,1.2366,0.01054,0.00555,-0.0863,0.3624,1
7.75,1.2589,0.01075,0.00575,-0.0854,0.3551,1
8,1.2788,0.01106,0.00602,-0.0841,0.3471,1
8.25,1.3015,0.01128,0.00624,-0.0833,0.3401,1
8.5,1.3208,0.01164,0.00654,-0.0819,0.3315,1
8.75,1.3427,0.0119,0.0068,-0.0811,0.3241,1
9,1.3614,0.01229,0.00715,-0.0797,0.3152,1
9.25,1.3823,0.01261,0.00747,-0.0787,0.3075,1
9.5,1.4002,0.01306,0.00787,-0.0773,0.2981,1
9.75,1.4201,0.01343,0.00824,-0.0762,0.29,1
10,1.4366,0.01396,0.00871,-0.0746,0.2804,1
10.25,1.4557,0.01439,0.00914,-0.0735,0.2717,1
10.5,1.4717,0.01497,0.00968,-0.072,0.2625,1
10.75,1.4883,0.01553,0.01021,-0.0706,0.253,1
11,1.504,0.01615,0.01081,-0.0691,0.2441,1
11.25,1.5175,0.01691,0.01151,-0.0674,0.2338,1
11.5,1.5327,0.01758,0.01217,-0.066,0.2248,1
11.75,1.5454,0.0184,0.01296,-0.0643,0.2154,1
12,1.5574,0.0193,0.01383,-0.0626,0.2057,1
12.25,1.5699,0.02019,0.0147,-0.061,0.1969,1
12.5,1.5796,0.02127,0.01574,-0.0592,0.1876,1
12.75,1.5895,0.02237,0.01682,-0.0576,0.1787,1
13,1.5991,0.02352,0.01796,-0.056,0.1703,1
13.25,1.6057,0.02491,0.01932,-0.0542,0.1616,1
13.5,1.6142,0.02621,0.02062,-0.0527,0.1539,1
13.75,1.6205,0.02772,0.02212,-0.0511,0.1465,1
14,1.6255,0.02939,0.02376,-0.0496,0.1389,1
14.25,1.6318,0.03101,0.02539,-0.0482,0.1323,1
14.5,1.6342,0.03299,0.02736,-0.0468,0.1258,1
14.75,1.6393,0.03481,0.0292,-0.0456,0.1198,1
15,1.6413,0.03696,0.03135,-0.0444,0.1141,1
15.25,1.6443,0.03908,0.03349,-0.0433,0.1087,1
15.5,1.6452,0.04143,0.03586,-0.0423,0.1039,1
15.75,1.6462,0.04385,0.0383,-0.0414,0.0993,1
16,1.6454,0.0465,0.04097,-0.0405,0.0951,1
16.25,1.6459,0.04908,0.04358,-0.0399,0.091,1
16.5,1.6428,0.05205,0.04658,-0.0392,0.0872,1
16.75,1.643,0.05473,0.04931,-0.0387,0.0839,1
17,1.6385,0.05798,0.05258,-0.0382,0.0806,1
17.25,1.6366,0.061,0.05565,-0.0379,0.0778,1
17.5,1.6333,0.06419,0.05888,-0.0376,0.075,1
17.75,1.6269,0.06776,0.06249,-0.0374,0.0722,1
18,1.625,0.07088,0.06568,-0.0373,0.0699,1
18.25,1.6192,0.07451,0.06935,-0.0373,0.0675,1
18.5,1.6121,0.07829,0.07317,-0.0374,0.0653,1
18.75,1.6097,0.08153,0.07648,-0.0375,0.0633,1
19,1.6032,0.08534,0.08035,-0.0378,0.0614,1
19.25,1.595,0.08939,0.08443,-0.0382,0.0595,1
19.5,1.5919,0.09283,0.08794,-0.0386,0.0579,1
19.75,1.5862,0.09658,0.09176,-0.0391,0.0563,1
20,1.5795,0.10049,0.0957,-0.0397,0.0546,1
